query,rank,score,score_reasons,source_type,auto_suggestion,manual_status,manual_note,title,channel,published_at,duration_label,view_count,comment_count,url,notes,top_comment_excerpt,description
重新開始 真實人生 訪談,11,13,+3 訪談 | +2 一個人 | +3 片長適中 | +2 查詢貼合 | +2 小人物帶 | +1 有少量留言,general,排除,,,《嫁來台灣，她為了保護婆婆進了警局｜一個河南女生的真實人生》,我是仙子啊,2025-12-23T03:15:06Z,13:45,13429,16,https://www.youtube.com/watch?v=kjTn2n8dsJE,待人工複查,,她來自河南，因為婚姻來到台灣。 她為了阻止家庭衝突、保護婆婆， 事情失控，最後進了警察局。 離婚後，她沒有選擇回頭， 而是 一個人撐起兩個孩子的生活， 從零開始學習、創業、打拼， 一步一步，在台灣買房、買車，站穩腳步。 這不是一個完美的故事， 卻是一個很多人正在經歷、卻很少說出口的人生。 如果你也關心： ・新住民在台灣的真實生活 ・女性在家庭與婚姻中的選擇 ・離婚後如何重新站起來 希望這支訪談，能帶給你一些力量。#台灣 #陸配
父親 告別 紀錄片,12,13,+3 紀錄 | +4 紀錄片 | +2 告別 | +2 可快速消化 | +2 故事貼合 | +2 查詢貼合 | +2 小人物帶 | -4 無留言,story-fit,排除,,,0125 親愛外婆告別式紀錄片,Tinoh,2016-01-21T08:04:03Z,4:27,131,0,https://www.youtube.com/watch?v=RVijIgMLULA,待人工複查,,
外公 外婆 紀錄片,13,11,+3 紀錄 | +4 紀錄片 | +2 外公 | +3 片長適中 | +2 故事貼合 | +3 查詢貼合 | -6 太冷又無留言 | 0 冷門待人工判讀,story-fit,排除,,,《情人》紀錄片,W Y,2022-07-24T04:41:03Z,12:00,29,0,https://www.youtube.com/watch?v=WOsE4nZQnzU,待人工複查,,"《情人》這部紀錄片以同學的外公外婆為主題，述說著臥病在床的外公以及全心照顧外公的外婆的生活故事。外婆除了日常照顧外公，也會參與志工活動，不僅把家裡照顧的好，同時也讓自己的生活更加多采多姿。《情人》的概念是圍繞著外公外婆的日常互動，儘管外公生病行動不方便，外婆還是投入許多的愛在外公身上，仍然會心疼外公，仍然會想把最好的給外公，想將這樣的愛情紀錄下來，將這愛情的偉大分享給大家。 - The documentary ""Lover"" focuses on the grandparents of the classmates, telling the life s"
照顧者 口述故事,14,10,+2 陪伴 | +2 父親 | +2 回憶 | +3 片長適中 | +2 故事貼合 | -4 與查詢偏離 | +2 小人物帶 | +1 有互動,story-fit,排除,,,黃母李漢芳老夫人 人生修鍊回憶光碟,Jerry Huang,2020-10-04T10:16:03Z,10:02,236,1,https://www.youtube.com/watch?v=kdWNnzudhj8,待人工複查,,前預防醫學研究所病理組組長 前疾病管制局簡任研究員 黃母李漢芳老夫人生平事略 今天在這裡弔念著一位我們敬重、慈愛的長者李漢芳的殞落。她圓滿的一生於109年農曆7月12日晚上六點二十四分在兒孫的陪伴下拉上了謝幕，我們今天在這裡送走她，她的一言一行、一顰一笑常駐心中。 年少的漂泊 年少時的媽媽出生於南京，隨著父親家人，遷徙到重慶，最後定居到台灣。江浙、四川的美食是她一直念念不忘的，我們能滿足了她江浙的胃，一直無法滿足他四川的胃。 事業成就-傑出女科學家 在那個重男輕女的時代，媽媽是傑出的女性。高中就讀附中實驗班，大學畢業於中興大學農化系，媽媽常常驕傲的說他是
陪伴 微紀錄片,15,10,+3 紀錄 | +4 紀錄片 | +2 父親 | +2 母親 | +2 失去 | +3 片長適中 | -2 機構成果片 | -4 與查詢偏離 | +2 小人物帶 | -2 互動偏低,institutional,排除,,,2019 MOD微電影暨金片子創作大賽 ｜社區一家紀錄片獎｜沒有人知道,社區一家系列紀錄片,2020-04-22T03:23:59Z,8:16,20431,4,https://www.youtube.com/watch?v=Kks0tTky4O8,待人工複查,,沒有人知道 陳冠君 2019｜8 min 蔣沛倫，24歲，在18歲之前是所謂幽靈人口，沒有名字、沒有身份、沒辦法工作、沒辦法看醫生、沒上過一天學…母親在他5歲時離家出走，父親也在他13歲時離開，他就此開始自力更生。Jordy曾於2016年在網路上發表一則尋母啟示，轟動一時，後來母子也聯繫上了，隨即又失去聯繫，到底發生了什麼，讓Jordy覺得自己被二度拋棄？他有找到當初為什麼被遺棄的答案嗎？ ... ▎2020社區一家紀錄片獎系列作品｜https://tinyurl.com/y5ab9bjn ▎2019 CNEX社區一家紀錄片作品｜https://tiny
父親 告別 紀錄片,16,10,+3 紀錄 | +4 紀錄片 | +2 失去 | +2 可快速消化 | +1 查詢略貼 | +2 小人物帶 | -4 無留言,general,排除,,,2014國際華人紀錄片影展：消失與復現—錄像空間 Fort-Da Screening Room,CNEXTW,2014-08-08T08:33:39Z,4:40,501,0,https://www.youtube.com/watch?v=U3BJZmdokA8,待人工複查,,錄像空間 《消失與復現》 Fort-Da Screening Room 來自世界各地的錄像藝術家，打破傳統紀錄片的表達方式，以個人視點觀察愛的流動，觀眾重覆體驗情感得失，過程中累積能量與信念：唯有堅定而溫柔地相信重生的希望，才能平靜擁抱下一次短暫的失去。 --------------------------------------- 【2014 國際華人紀錄片影展】 放映地點｜光點華山2樓多功能藝文廳 開放時間｜09.26-10.04 14:00-21:00｜10.05 14:00-19:30 官網｜http://tw.cnexfest.org 部落格｜
外公 外婆 紀錄片,17,10,+3 紀錄 | +4 紀錄片 | +2 外公 | +2 可快速消化 | +2 故事貼合 | +3 查詢貼合 | -6 太冷又無留言 | 0 冷門待人工判讀,story-fit,排除,,,"我的外公外婆 , 紀錄片摟.avi",林芷安,2012-06-14T18:55:34Z,4:54,40,0,https://www.youtube.com/watch?v=g0cOzNMgPgo,待人工複查,,
外公 外婆 紀錄片,18,9,+3 紀錄 | +4 紀錄片 | +3 片長適中 | +1 查詢略貼 | +2 小人物帶 | -4 無留言,general,排除,,,紀錄片奶奶,吳小希,2014-10-25T16:26:11Z,8:56,153,0,https://www.youtube.com/watch?v=Jxa1-Rbh4lg,待人工複查,,
母親 陪伴 訪談,19,9,+3 訪談 | +2 陪伴 | +3 重新開始 | +2 回憶 | +3 片長適中 | +2 故事貼合 | +2 查詢貼合 | -8 幾乎沒被觀眾驗證 | 0 冷門待人工判讀,story-fit,排除,,,創業家訪談系列: 妳有沒有想過，如果妳的人生，也因為一個轉彎，被迫重來一次？✨,Joanne Digital Adventure,2025-11-28T06:37:05Z,18:31,10,0,https://www.youtube.com/watch?v=KVFIKqcESbk,待人工複查,,妳有沒有想過—如果妳的人生， 也因為一個轉彎，被迫重來一次？✨ Ying Jie 6 年前帶著孩子從中國移民美國舊金山， 只為了讓孩子脫離國內的內捲教育環境 🧳🌎。 在國內，她是一名公務員， 到了舊金山，面對高昂的生活成本， 她不得不重新開始。 為了生活，她選擇成為 婚禮花藝設計師 💐。 在別人的節慶與浪漫裡，她用雙手創造美好回憶。 可最心疼的時刻是： 她在替別人鋪滿鮮花的婚禮現場， 卻缺席了孩子學校的重要活動 💔🎒。 那一瞬間，她突然懂了， 再努力的工作，如果換不來陪伴孩子， 那份努力就會變得很沉重。 尤其是花藝師這份工作： 不接案＝沒有收入。 生活被
陪伴 微紀錄片,20,8,+3 紀錄 | +4 紀錄片 | +2 陪伴 | +2 可快速消化 | -2 機構成果片 | +1 查詢略貼 | +2 小人物帶 | -4 無留言,institutional,排除,,,2019【Waker Walker  拯救童年．微愛而走】紀錄片,社團法人台灣微客公益行動協會,2019-05-17T12:07:45Z,6:13,905,0,https://www.youtube.com/watch?v=gYPCmR9gebU,待人工複查,,"2019【Waker Walker － 拯救童年 微愛而走】圓滿成功！ 感謝所有熱情參與的朋友們，以及與我們一同奮鬥的小幫手們！因為有你們，讓遠方孩子們的故事能夠被聽見、被看見，更被溫暖地感受著！ 在微微細雨的夜晚中，看見許多爸爸媽媽牽著孩子與我們一同前行，看見朋友們在聽故事時如此專注的眼神，看見大家左手手背上所貼著的孩童貼紙…… 這一晚，超過 600人的齊步響應，每一步，我們都踏實地陪伴著遠方的孩子們！ 【 2019 微愛而走活動 總共募得80,859元 】 活動募得經費將支持本協會所陪伴的孩子們｜即食救援｜啟動想像｜夢想延續｜ 再次感謝所有朋友們！讓"
陪伴 微紀錄片,21,6,+3 紀錄 | +4 紀錄片 | +4 微紀錄片 | +2 可快速消化 | +1 查詢略貼 | -8 幾乎沒被觀眾驗證 | 0 冷門待人工判讀,general,排除,,,《我們不會散》總要有一個摯友，陪你解鎖一場獨一無二的畢業旅行#畢業季微紀錄片大賽,畢業季·時光,2026-05-18T02:07:01Z,4:27,19,0,https://www.youtube.com/watch?v=rCShBWNfJXo,待人工複查,,
父親 告別 紀錄片,22,5,+2 告別 | +3 片長適中 | +2 故事貼合 | +1 查詢略貼 | +2 小人物帶 | -5 有觀看但幾乎無回應,story-fit,排除,,,老爸的告別式,莫雲飛,2015-02-04T10:36:33Z,10:31,5934,0,https://www.youtube.com/watch?v=5-qmy-DYrWw,待人工複查,,說明
照顧者 口述故事,23,5,+3 訪談 | +3 專訪 | +4 生命故事 | +3 紀錄 | -3 精華版 | +3 片長適中 | -2 機構成果片 | -4 與查詢偏離 | +2 小人物帶 | -4 無留言,institutional,排除,,,【107年度口述歷史影像紀錄計畫】洪慶雲、林錦鶴－訪談精華影片,TFAI 國家電影及視聽文化中心,2019-09-11T05:35:54Z,12:39,383,0,https://www.youtube.com/watch?v=-XY07OK0CNo,待人工複查,,【影片說明】 洪慶雲、林錦鶴於2018年接受國家電影中心訪談之精華版，內容包括洪慶雲談進入農教電影公司的經過、農教的訓練，及生涯後期在大都影業公司自主製作彩色沖片機，協助大都成功轉型彩色沖印業務等口述。 【計畫目的】 為了持續從各種角度豐富台灣電影史論述，帶動研究能量，並將台灣電影發展歷程中不為人知的個人生命故事帶到大眾面前，本中心於107年度規劃此「口述歷史影像紀錄計畫」。徵求專業團隊以人物專訪形式，透過老影人之口述，紀錄他們親身見證的各種電影現場故事與影業的不同面貌。 【影片資訊】 時間：2018年10月30日 地點：國家電影中心 受訪者：洪慶雲、林
父親 告別 紀錄片,24,5,+2 父親 | +2 可快速消化 | +2 故事貼合 | +1 查詢略貼 | +2 小人物帶 | -4 無留言,story-fit,排除,,,追思父親,黃小倩,2011-09-22T10:43:06Z,6:06,147,0,https://www.youtube.com/watch?v=CdSViKGHGfc,待人工複查,,
外公 外婆 紀錄片,25,5,+2 陪伴 | +2 回家 | +2 外公 | +3 片長適中 | +2 故事貼合 | +2 查詢貼合 | -8 幾乎沒被觀眾驗證 | 0 冷門待人工判讀,story-fit,排除,,,《陪伴》,sixiangdao,2023-12-06T04:29:21Z,10:05,4,0,https://www.youtube.com/watch?v=U0StYVxNEcw,待人工複查,,小时候在外公外婆家长大，对外公外婆家有着别样的情感；长大后，回家的次数越来越少，外公外婆也渐渐老去，想要抓住不多的时光多多陪伴他们，将外公外婆的日常生活和他们对我的爱与关心记录下来，虽然他们从不说“爱”，但是从微小细节体现处他们对我的爱，将它们永远记录并保存下来。 #us手机竖屏微纪录青年影展 #us手机微纪录青年影展 #纪录片 #家庭 #爱 #参赛作品 #家人之爱 #成长
小人物 家庭故事 訪談,26,4,+3 小人物 | +3 片長適中 | +1 查詢略貼 | +2 小人物帶 | -5 有觀看但幾乎無回應,general,排除,,,【在一起 | With You】《在一起之生命的拐点》幕后纪录片·先锋,Youhug Media Official Channel 耀客文化官方频道,2020-11-04T02:32:21Z,11:56,3012,0,https://www.youtube.com/watch?v=Zm1lDPBZnug,待人工複查,,《在一起之生命的拐点》幕后纪录片·先锋 —————————————————————————————————————— 由国家广电总局全程组织指导，上海广播电视台和耀客传媒、尚世影业共同出品的抗疫题材时代报告剧《在一起》共有十个单元故事，讲述平凡人的挺身而出，小人物也是大英雄，我们在一起。 重温艰难时光，致敬伟大人民！ A realistic drama about the current pandemic. The first unit depicts how doctors notice the virus and take actions immed
小人物 家庭故事 訪談,27,4,+3 訪談 | +2 可快速消化 | +1 查詢略貼 | +2 小人物帶 | -4 無留言,general,排除,,,《歷史不下課》The Lesson 導演訪談｜2021 臺灣國際人權影展,國家人權博物館National Human Rights Museum,2021-10-31T16:00:34Z,6:37,740,0,https://www.youtube.com/watch?v=v3QMJPTQ7lo,待人工複查,,#2021臺灣國際人權影展 #導演訪談 因為新冠肺炎襲擊全球，本屆影展改以影片拍攝方式，邀請部分影人分享，來自德國，《歷史不下課》導演艾琳娜・霍恩的問候。 0:00 關於片頭一位尤太女孩的提問，當初妳心中有答案嗎 ？ 在拍攝後，妳的答案有改變嗎？ 1:26 本片透過四名青少年展開故事，這樣安排有什麼用意嗎？ 2:14 關於如何將所學的人權價值，實踐於生活中，妳有什麼想法？ 3:04 在轉型教育尚未成為社會共識時，妳覺得這部片可以如何開啟社會對話？ 3:50 當初如何決定放入檔案影像來呈現這部影片？ 5:00 能否提供一些建議給臺灣人權教育相關的工作者，或
父親 告別 紀錄片,28,4,+2 父親 | +2 告別 | +2 可快速消化 | +2 故事貼合 | +2 查詢貼合 | -6 太冷又無留言 | 0 冷門待人工判讀,story-fit,排除,,,王進泉老先生追思告別會(2/2)106/2/20,王世明,2017-03-08T09:28:03Z,4:47,55,0,https://www.youtube.com/watch?v=cEdTqyOr8ME,待人工複查,,追憶摯愛的父親王進泉老先生追思告別會(2/2)106/2/20
外公 外婆 紀錄片,29,3,+3 紀錄 | +4 紀錄片 | +2 想念 | -5 mv | +2 可快速消化 | -5 音樂或片段 | +2 查詢貼合 | -2 觀眾驗證仍薄 | +2 心得互動高 | 0 冷門待人工判讀,music-fragment,排除,,,外婆紀錄片.wmv,林裕哲,2011-10-16T08:34:40Z,7:14,28,1,https://www.youtube.com/watch?v=twkDvPZujUU,待人工複查,,我最愛的外婆~您在天上是否過得很好呢?我們都很想念想念您
陪伴 微紀錄片,30,3,+3 紀錄 | +4 紀錄片 | +2 陪伴 | +2 回家 | -4 片段 | +2 可快速消化 | -5 音樂或片段 | +1 查詢略貼 | +2 小人物帶 | -4 無留言,music-fragment,排除,,,4th大聲孝得獎作品【非紀錄片類】第三名《時時刻刻都要想起》,大聲孝,2022-12-10T02:47:02Z,4:01,231,0,https://www.youtube.com/watch?v=MUMUu0_iayo,待人工複查,,◆ 學校：國立北斗高級家事商業職業學校 ◆ 得獎同學：黃亭瑋、鄭伊芯、黃彥婷、魏祥如、陳麗君 ◆ 故事大綱： 利用剪影來拍影片，強調父母陪伴小孩的每個重要時刻，從出生到學會走路到上課都有父母的陪伴，但小孩會長大父母會變老，小孩長大後離家工作，很少回家，但其實父母只是想要偶爾的陪伴，所以後面那幾個片段是在拍長大後的我們也不要忘記有時間也要回家陪伴家裡年邁的父母，最後一幕的意思是從前你們陪伴我長大，現在換我陪伴你們變老。
母親 陪伴 訪談,31,3,+3 紀錄 | +4 紀錄片 | +2 陪伴 | +2 母親 | +3 片長適中 | -7 娛樂人物排除 | +2 查詢貼合 | -6 太冷又無留言 | 0 冷門待人工判讀,entertainment,排除,,,"四个孩子的妈妈 Mary| Mary, a mom of four",ChloeOne,2026-05-23T06:45:57Z,10:42,38,0,https://www.youtube.com/watch?v=-_drCOS-UMs,待人工複查,,這是「媽媽系列」紀錄片的第一集，在2026母親節月打響 我自己是新手媽媽，這個新身分隨而來的責任會沖刷現有的人生觀、教育觀。於是有了這個系列的影片。 希望這份堅持能讓這個社會更包容媽媽這個角色，希望能夠為媽媽們爭取更大的尊重和各類機會。 媽媽為家庭和孩子的付出無法衡量，養育好一個孩子，這個世界也就多一個好人，這也許才是生命延續最大的意義 母愛是個接力，一代有一代人的責任，更多的媽媽聚在一起是無限的能量。 影片能讓已經成為媽媽/準備成為媽媽的女生們啟發或陪伴也是一件美好的事情 當我採訪越來越多的媽媽後，你也能裡面找到自己的媽媽：） 第一集，由Mary講述她
父親 告別 紀錄片,32,3,+2 父親 | +2 告別 | +3 片長適中 | +2 故事貼合 | +2 查詢貼合 | -8 幾乎沒被觀眾驗證 | 0 冷門待人工判讀,story-fit,排除,,,2006(95).11.29千郁父親告別式&獻詩:耶穌恩友~百年教會牧師師母&淑鳳和弟兄姐妹,欒淑鳳Cherise,2019-10-29T18:03:06Z,15:42,17,0,https://www.youtube.com/watch?v=B5ejexrTtm4,待人工複查,,
照顧者 口述故事,33,2,+3 片長適中 | -8 與查詢不貼 | +2 小人物帶 | +3 留言明顯 | +2 心得互動高,general,排除,,,你家老公會練肖話嗎? 徐姑姑來了 ! My husband is very humorous.Here comes Aunt XU.,徐姑姑來了 Here comes Aunt Xu,2021-07-16T10:00:21Z,9:00,2994,123,https://www.youtube.com/watch?v=bB61pTQz7hQ,待人工複查,,你有沒有一個隨時充滿樂趣，帶給你歡樂的老公 ? 夫妻生活中充滿了很多點點滴滴的小樂趣 ! 要靠彼此互相融入跟體會 ! 我老公平常就是開朗樂觀，對每件事情都有獨特的幽默解讀 ! 是不是很有趣阿 ! 各位朋友如果喜歡的話，多幫我推薦朋友來訂閱+按讚+留言喔 ! 這個系列我會再拍個幾集來讓大家開心開心 ! # 溫馨提醒 : 看這部片時，嘴巴盡量不要吃東西喔 ! 以免.......! # 最佳觀看方式 : 找上老公 ( 老婆 ) 一起看 ! 耶 歡迎留言給徐姑姑，記得幫忙徐姑姑來了訂閲、按讚~分享。感恩! If you like this video pleas
母親 陪伴 訪談,34,1,+3 專訪 | +2 陪伴 | +2 母親 | +2 告別 | -6 藝人 | +3 片長適中 | -7 娛樂人物排除 | +2 查詢貼合 | -4 太有名 | +2 小人物帶 | +2 有留言,entertainment,排除,,,AGA專訪｜罕談與的士邦戀情　初見面即嗌交、激讚未婚夫可靠顧家陪AGA母親做手術細心照顧｜參選港姐之謎｜與環球完約後會退出？｜對AI作曲看法｜江海迦｜01娛樂｜藝人專訪｜香港01,香港01,2025-07-08T14:00:41Z,14:19,28222,36,https://www.youtube.com/watch?v=MjBSVjuMwXQ,待人工複查,,隨著前年的紅館演唱會圓滿落幕，AGA（江海迦）除了巡唱外，又再次「深潛」，埋首創作自己的首張概念大碟。月前AGA證實與合作12年的環球唱片已完約，暫未透露下一步動向，只表示會小休一會，令外界揣測她會否告別樂壇，或專心籌備婚事做人妻。以往對感情事作風低調的AGA，在今次訪問中鬆口暢談她與未婚夫「的士邦」的戀愛故事，兩人竟然首次見面已吵架，究竟後來又是如何墮入愛河？從拍拖至訂婚，AGA又是因為哪一件事認定對方作終身伴侶？ 00:00 Intro 00:24 親解選港姐之謎 原來為陪伴摯愛二家姐 02:08 從寫歌無人要到踏上紅館 最感謝兩個人 04:43 推
重新開始 真實人生 訪談,35,1,+3 專訪 | +3 重新開始 | -3 企業 | +3 片長適中 | -4 品牌內容 | +1 查詢略貼 | +2 小人物帶 | -4 無留言,brand,排除,,,TiTE x IHT專訪：我的人生沒得選 被前輩們看不起的那段日子(益詮金屬),Stand Tools 仕典工具-首君,2025-12-04T04:00:28Z,17:51,328,0,https://www.youtube.com/watch?v=WvMQtnVX8KY,待人工複查,,本次採訪益詮金屬的 George，他談到三代返家接班的真實處境。 當同學規劃人生選項時，他只能倒數回到產線，從基層重新開始。 面對前輩的質疑與輕視，他仍選擇把壓力化為前進動力，在最不被看好的位置逐步建立自己的價值。這段心路歷程呈現出家族企業中少被看見的重量與堅持。 益詮金屬主要生產工業用鑽夾頭，歷史悠久，品質保證。 歐美日主要賣場都可以看到益詮金屬的商品，歡迎大家有鑽夾頭需求時，第一選擇益詮金屬。 益詮金屬聯絡資訊 https://www.kokuhin.com.tw/ 聯絡的LINE ID : NEWNEW186 影片重點精華： 本集邀請到台灣鑽夾頭製
